Filename,Architecture,Initial Depth,Sabre Depth,Zach Depth,Sabre Swaps,Zach Swaps,Zach Activations,Sabre Depth reduction,Zach Depth reduction,Sabre Time taken,Zach Time taken
phase_oracle_5.qasm,['Qgrid_20'],36,38,40,2,6,,1.056,1.111,0.002,0.019
phase_oracle_6.qasm,['IBM_Q20'],36,36,36,0,0,,1,1,0.002,0.005
phase_oracle_6.qasm,['Qgrid_20'],36,40,44,2,5,,1.111,1.222,0.002,0.017
phase_oracle_7.qasm,['IBM_Q20'],156,157,168,2,16,,1.006,1.077,0.005,0.191
phase_oracle_7.qasm,['Qgrid_20'],156,179,165,19,13,,1.147,1.058,0.005,0.189
phase_oracle_8.qasm,['IBM_Q20'],156,160,201,2,22,,1.026,1.288,0.005,0.181
phase_oracle_8.qasm,['Qgrid_20'],156,182,171,27,21,,1.167,1.096,0.006,0.25
phase_oracle_9.qasm,['IBM_Q20'],636,653,662,23,40,,1.027,1.041,0.018,1.456
phase_oracle_9.qasm,['Qgrid_20'],636,742,742,101,185,,1.167,1.167,0.02,4.223
piecewise_chebyshev_5.qasm,['IBM_Q20'],353,354,360,3,7,,1.003,1.02,0.009,0.136
piecewise_chebyshev_5.qasm,['Qgrid_20'],353,396,405,44,54,,1.122,1.147,0.01,0.991
piecewise_chebyshev_7.qasm,['IBM_Q20'],1340,1475,1461,88,107,,1.101,1.09,0.035,8.036
piecewise_chebyshev_7.qasm,['Qgrid_20'],1340,1551,1562,195,280,,1.157,1.166,0.038,16.61
piecewise_chebyshev_9.qasm,['IBM_Q20'],3435,3899,3810,346,374,,1.135,1.109,0.095,59.721
piecewise_chebyshev_9.qasm,['Qgrid_20'],3435,4019,3992,569,661,,1.17,1.162,0.12,93.091
qft_10.qasm,['IBM_Q20'],74,144,150,19,32,,1.946,2.027,0.006,0.307
qft_10.qasm,['Qgrid_20'],74,125,156,32,39,,1.689,2.108,0.006,0.408
qft_5.qasm,['IBM_Q20'],34,35,37,1,1,,1.029,1.088,0.002,0.01
qft_5.qasm,['Qgrid_20'],34,41,41,5,12,,1.206,1.206,0.002,0.04
qft_6.qasm,['IBM_Q20'],42,47,50,2,2,,1.119,1.19,0.002,0.031
qft_6.qasm,['Qgrid_20'],42,54,63,6,8,,1.286,1.5,0.002,0.043
qft_7.qasm,['IBM_Q20'],50,81,90,3,8,,1.62,1.8,0.003,0.083
qft_7.qasm,['Qgrid_20'],50,79,85,13,20,,1.58,1.7,0.003,0.09
qft_8.qasm,['IBM_Q20'],58,93,93,10,13,,1.603,1.603,0.004,0.109
qft_8.qasm,['Qgrid_20'],58,88,84,15,22,,1.517,1.448,0.005,0.202
qft_9.qasm,['IBM_Q20'],66,121,111,15,20,,1.833,1.682,0.005,0.179
qft_9.qasm,['Qgrid_20'],66,128,124,27,30,,1.939,1.879,0.005,0.268
quadratic_form_10.qasm,['IBM_Q20'],292,401,394,60,74,,1.373,1.349,0.014,1.645
quadratic_form_10.qasm,['Qgrid_20'],292,405,392,85,107,,1.387,1.342,0.015,2.395
quadratic_form_5.qasm,['IBM_Q20'],82,97,102,6,10,,1.183,1.244,0.004,0.097
quadratic_form_5.qasm,['Qgrid_20'],82,94,97,14,18,,1.146,1.183,0.004,0.15
quadratic_form_6.qasm,['IBM_Q20'],124,144,152,10,20,,1.161,1.226,0.005,0.29
quadratic_form_6.qasm,['Qgrid_20'],124,150,147,20,31,,1.21,1.185,0.006,0.364
quadratic_form_7.qasm,['IBM_Q20'],166,204,205,19,35,,1.229,1.235,0.007,0.464
quadratic_form_7.qasm,['Qgrid_20'],166,219,228,35,59,,1.319,1.373,0.008,0.741
quadratic_form_8.qasm,['IBM_Q20'],208,254,265,33,52,,1.221,1.274,0.009,0.834
quadratic_form_8.qasm,['Qgrid_20'],208,286,277,57,78,,1.375,1.332,0.01,1.203
quadratic_form_9.qasm,['IBM_Q20'],250,313,324,41,58,,1.252,1.296,0.011,1.149
quadratic_form_9.qasm,['Qgrid_20'],250,309,336,66,108,,1.236,1.344,0.012,1.827
quantum_volume_10.qasm,['IBM_Q20'],70,174,152,18,21,,2.486,2.171,0.012,0.474
quantum_volume_10.qasm,['Qgrid_20'],70,123,124,23,27,,1.757,1.771,0.011,0.716
quantum_volume_5.qasm,['IBM_Q20'],35,43,36,1,2,,1.229,1.029,0.002,0.021
quantum_volume_5.qasm,['Qgrid_20'],35,44,45,3,4,,1.257,1.286,0.003,0.025
quantum_volume_6.qasm,['IBM_Q20'],42,79,79,3,3,,1.881,1.881,0.005,0.062
quantum_volume_6.qasm,['Qgrid_20'],42,46,46,4,4,,1.095,1.095,0.005,0.071
quantum_volume_7.qasm,['IBM_Q20'],49,50,50,1,1,,1.02,1.02,0.005,0.019
quantum_volume_7.qasm,['Qgrid_20'],49,58,58,2,3,,1.184,1.184,0.005,0.057
quantum_volume_8.qasm,['IBM_Q20'],56,84,107,9,11,,1.5,1.911,0.007,0.167
quantum_volume_8.qasm,['Qgrid_20'],56,84,105,12,14,,1.5,1.875,0.008,0.255
quantum_volume_9.qasm,['IBM_Q20'],63,138,112,7,15,,2.19,1.778,0.008,0.276
quantum_volume_9.qasm,['Qgrid_20'],63,112,127,18,19,,1.778,2.016,0.008,0.4
weighted_adder_6.qasm,['IBM_Q20'],63,63,65,1,1,,1,1.032,0.003,0.018
weighted_adder_6.qasm,['Qgrid_20'],63,75,77,8,18,,1.19,1.222,0.003,0.081
weighted_adder_9.qasm,['IBM_Q20'],229,276,291,31,58,,1.205,1.271,0.009,0.736
weighted_adder_9.qasm,['Qgrid_20'],229,308,308,63,91,,1.345,1.345,0.009,1.137
,,,,=,,,,,,,
