Filename,Architecture,Initial Depth,Sabre Depth,Zach Depth,Sabre Swaps,Zach Swaps,Zach Changes,Zach Activations,Sabre Time taken,Zach Time taken,,
phase_oracle_7.qasm,['IBM_Q20'],156,163,163,9,7,1,6,0.019,0.132,,
phase_oracle_7.qasm,['Qgrid_20'],156,177,185,22,48,6,36,0.03,0.269,,
phase_oracle_8.qasm,['IBM_Q20'],156,161,161,4,6,3,11,0.016,0.091,,
phase_oracle_8.qasm,['Qgrid_20'],156,175,187,20,48,3,35,0.028,0.374,,
phase_oracle_9.qasm,['IBM_Q20'],636,666,680,22,38,4,40,0.077,1.605,,
phase_oracle_9.qasm,['Qgrid_20'],636,727,760,84,152,14,143,0.119,4.739,,
piecewise_chebyshev_11.qasm,['IBM_Q20'],7059,7969,7782,768,724,26,771,1.334,308.988,,
piecewise_chebyshev_11.qasm,['Qgrid_20'],7059,8280,8213,1121,1523,109,1408,1.484,556.205,,
piecewise_chebyshev_5.qasm,['IBM_Q20'],353,360,357,7,6,0,6,0.047,0.542,,
piecewise_chebyshev_5.qasm,['Qgrid_20'],353,404,395,58,69,14,82,0.081,1.294,,
piecewise_chebyshev_7.qasm,['IBM_Q20'],1340,1453,1420,95,84,8,104,0.233,8.393,,
piecewise_chebyshev_7.qasm,['Qgrid_20'],1340,1559,1539,225,230,13,250,0.293,20.246,,
piecewise_chebyshev_9.qasm,['IBM_Q20'],3435,3881,3782,362,311,15,320,0.603,72.466,,
piecewise_chebyshev_9.qasm,['Qgrid_20'],3435,4005,3985,541,736,52,752,0.691,140.242,,
qft_10.qasm,['IBM_Q20'],74,142,145,19,26,2,30,0.036,0.351,,
qft_10.qasm,['Qgrid_20'],74,123,141,44,34,0,35,0.043,0.581,,
qft_11.qasm,['IBM_Q20'],82,147,142,32,32,0,31,0.046,0.545,,
qft_11.qasm,['Qgrid_20'],82,157,158,59,42,0,43,0.058,0.844,,
qft_5.qasm,['IBM_Q20'],34,35,37,1,1,1,2,0.005,0.029,,
qft_5.qasm,['Qgrid_20'],34,41,38,7,7,1,8,0.007,0.038,,
qft_6.qasm,['IBM_Q20'],42,47,47,2,7,2,8,0.008,0.051,,
qft_6.qasm,['Qgrid_20'],42,53,61,10,13,2,16,0.011,0.079,,
qft_7.qasm,['IBM_Q20'],50,81,81,6,5,0,5,0.013,0.072,,
qft_7.qasm,['Qgrid_20'],50,64,76,18,16,0,19,0.018,0.149,,
qft_8.qasm,['IBM_Q20'],58,86,90,12,17,0,18,0.021,0.135,,
qft_8.qasm,['Qgrid_20'],58,88,92,19,20,0,19,0.024,0.238,,
qft_9.qasm,['IBM_Q20'],66,104,117,13,17,0,25,0.025,0.198,,
qft_9.qasm,['Qgrid_20'],66,105,112,33,29,2,29,0.039,0.341,,
quadratic_form_10.qasm,['IBM_Q20'],292,384,392,72,82,2,90,0.091,2.264,,
quadratic_form_10.qasm,['Qgrid_20'],292,393,407,101,136,9,129,0.11,3.258,,
quadratic_form_11.qasm,['IBM_Q20'],334,447,459,86,89,3,93,0.112,2.873,,
quadratic_form_11.qasm,['Qgrid_20'],334,471,456,115,165,16,150,0.133,4.574,,
quadratic_form_5.qasm,['IBM_Q20'],82,95,95,6,6,4,12,0.015,0.089,,
quadratic_form_5.qasm,['Qgrid_20'],82,98,94,18,17,2,19,0.021,0.154,,
quadratic_form_6.qasm,['IBM_Q20'],124,138,141,11,18,1,26,0.03,0.23,,
quadratic_form_6.qasm,['Qgrid_20'],124,146,150,23,20,3,23,0.032,0.356,,
quadratic_form_7.qasm,['IBM_Q20'],166,192,185,28,31,8,45,0.049,0.522,,
quadratic_form_7.qasm,['Qgrid_20'],166,209,197,39,56,3,48,0.054,0.881,,
quadratic_form_8.qasm,['IBM_Q20'],208,270,258,34,45,1,51,0.055,0.868,,
quadratic_form_8.qasm,['Qgrid_20'],208,274,264,64,69,3,80,0.071,1.344,,
quadratic_form_9.qasm,['IBM_Q20'],250,319,324,52,58,6,77,0.071,1.278,,
quadratic_form_9.qasm,['Qgrid_20'],250,347,323,84,103,3,100,0.091,2.361,,
quantum_volume_10.qasm,['IBM_Q20'],70,134,135,18,22,0,23,0.064,0.585,,
quantum_volume_10.qasm,['Qgrid_20'],70,132,131,23,33,0,33,0.062,0.97,,
quantum_volume_11.qasm,['IBM_Q20'],77,188,171,34,36,0,36,0.066,0.925,,
quantum_volume_11.qasm,['Qgrid_20'],77,159,149,39,39,1,35,0.075,1.242,,
quantum_volume_5.qasm,['IBM_Q20'],35,36,36,2,2,0,2,0.009,0.018,,
quantum_volume_5.qasm,['Qgrid_20'],35,38,37,3,2,0,3,0.009,0.031,,
quantum_volume_6.qasm,['IBM_Q20'],42,52,45,4,5,0,5,0.017,0.07,,
quantum_volume_6.qasm,['Qgrid_20'],42,46,46,5,5,0,5,0.02,0.099,,
quantum_volume_7.qasm,['IBM_Q20'],49,66,59,3,5,0,5,0.016,0.066,,
quantum_volume_7.qasm,['Qgrid_20'],49,52,58,3,2,0,3,0.016,0.062,,
quantum_volume_8.qasm,['IBM_Q20'],56,104,94,12,12,0,14,0.032,0.174,,
quantum_volume_8.qasm,['Qgrid_20'],56,95,97,15,16,0,16,0.039,0.322,,
quantum_volume_9.qasm,['IBM_Q20'],63,96,109,8,7,0,7,0.038,0.27,,
quantum_volume_9.qasm,['Qgrid_20'],63,128,113,14,17,0,16,0.042,0.407,,
weighted_adder_6.qasm,['IBM_Q20'],63,63,65,1,1,0,2,0.011,0.056,,
weighted_adder_6.qasm,['Qgrid_20'],63,75,83,11,16,1,17,0.015,0.107,,
weighted_adder_9.qasm,['IBM_Q20'],229,265,247,30,41,8,46,0.067,0.826,,
weighted_adder_9.qasm,['Qgrid_20'],229,304,300,64,82,7,76,0.087,1.276,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Initial Depth,Sabre Depth,Zach Depth,Sabre Swaps,Zach Swaps,Zach Changes,Zach Activations,Sabre Time taken,Zach Time taken,,
,SUMS,124986,146654,145117,18494,20734,1764,20157,0.126280899,20.05549438,Average,
,,,,,,,,,0.034721583,0.527611502,Mean,
,,Zach VS Sabre,,1537,Depth saved,,,,,,,
,,,,2240,Extra Swaps,,,,,,,
,,,,1.121120363,,,,,,,,
,,,,0.161274063,Depth to commutation ratio,,,,,,,
,,,,0.087513023,Positive commutation result ratio,,,,,,,
,,,,158.8165317,Average amount of time slower than sabre,,,,,,,
,,,,15.19549086,Mean amount of time slower,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,IBM Q20 SUMS,62493,70246,69016,5236,4905,494,5437,,,,
,Qgrid sums,62493,76408,76101,13258,15829,1270,14720,,,,
