Filename,Architecture,Initial Depth,Sabre Depth,Zach Depth,Sabre Swaps,Zach Swaps,Zach Changes,Zach Activations,Sabre Depth reduction,Zach Depth reduction,Sabre Time taken,Zach Time taken
OR_9.qasm,['IBM_Q20'],1277,1282,1287,34,97,20,69,1.004,1.008,0.072,3.784
OR_9.qasm,['Qgrid_20'],1277,1284,1335,105,174,48,156,1.005,1.045,0.121,7.608
phase_estimation_10.qasm,['IBM_Q20'],2604,2636,2632,17,15,0,17,1.012,1.011,0.174,3.558
phase_estimation_10.qasm,['Qgrid_20'],2604,3420,3468,530,572,5,458,1.313,1.332,0.488,81.682
phase_estimation_5.qasm,['IBM_Q20'],84,84,84,2,2,0,2,1.0,1.0,0.008,0.031
phase_estimation_5.qasm,['Qgrid_20'],84,103,107,15,21,5,31,1.226,1.274,0.014,0.116
phase_estimation_6.qasm,['IBM_Q20'],172,172,172,3,3,0,3,1.0,1.0,0.012,0.041
phase_estimation_6.qasm,['Qgrid_20'],172,223,212,29,42,6,51,1.297,1.233,0.029,0.416
phase_estimation_7.qasm,['IBM_Q20'],340,345,343,4,6,0,8,1.015,1.009,0.023,0.112
phase_estimation_7.qasm,['Qgrid_20'],340,421,416,66,75,4,75,1.238,1.224,0.068,1.634
phase_estimation_8.qasm,['IBM_Q20'],668,670,670,6,6,0,6,1.003,1.003,0.046,0.353
phase_estimation_8.qasm,['Qgrid_20'],668,873,851,131,165,2,189,1.307,1.274,0.137,6.25
phase_estimation_9.qasm,['IBM_Q20'],1316,1331,1331,9,9,0,9,1.011,1.011,0.089,1.255
phase_estimation_9.qasm,['Qgrid_20'],1316,1708,1700,271,360,4,346,1.298,1.292,0.27,21.263
phase_oracle_10.qasm,['IBM_Q20'],636,639,638,12,15,7,14,1.005,1.003,0.041,1.559
phase_oracle_10.qasm,['Qgrid_20'],636,646,662,52,102,23,62,1.016,1.041,0.071,2.18
phase_oracle_5.qasm,['IBM_Q20'],36,36,36,0,0,1,1,1.0,1.0,0.003,0.007
phase_oracle_5.qasm,['Qgrid_20'],36,38,38,2,2,1,3,1.056,1.056,0.003,0.021
phase_oracle_6.qasm,['IBM_Q20'],36,36,36,1,2,0,0,1.0,1.0,0.003,0.005
phase_oracle_6.qasm,['Qgrid_20'],36,38,38,2,2,1,3,1.056,1.056,0.004,0.019
phase_oracle_7.qasm,['IBM_Q20'],156,157,157,2,3,2,3,1.006,1.006,0.011,0.08
phase_oracle_7.qasm,['Qgrid_20'],156,162,173,15,37,11,32,1.038,1.109,0.016,0.173
phase_oracle_8.qasm,['IBM_Q20'],156,157,157,2,3,2,3,1.006,1.006,0.009,0.071
phase_oracle_8.qasm,['Qgrid_20'],156,162,170,14,18,3,17,1.038,1.09,0.016,0.153
phase_oracle_9.qasm,['IBM_Q20'],636,639,637,16,15,7,14,1.005,1.002,0.045,1.076
phase_oracle_9.qasm,['Qgrid_20'],636,650,662,50,86,13,60,1.022,1.041,0.069,2.201
piecewise_chebyshev_5.qasm,['IBM_Q20'],353,354,354,3,3,0,4,1.003,1.003,0.019,0.067
piecewise_chebyshev_5.qasm,['Qgrid_20'],353,385,399,40,49,3,51,1.091,1.13,0.052,0.928
piecewise_chebyshev_7.qasm,['IBM_Q20'],1340,1393,1377,43,48,1,47,1.04,1.028,0.107,5.542
piecewise_chebyshev_7.qasm,['Qgrid_20'],1340,1497,1501,174,207,20,238,1.117,1.12,0.173,13.632
piecewise_chebyshev_9.qasm,['IBM_Q20'],3435,3663,3690,233,318,12,290,1.066,1.074,0.438,53.238
piecewise_chebyshev_9.qasm,['Qgrid_20'],3435,3809,3838,499,561,21,539,1.109,1.117,0.55,116.22
qft_10.qasm,['IBM_Q20'],74,133,132,17,13,2,13,1.797,1.784,0.024,0.223
qft_10.qasm,['Qgrid_20'],74,125,136,29,34,1,33,1.689,1.838,0.03,0.442
qft_5.qasm,['IBM_Q20'],34,35,37,1,1,1,2,1.029,1.088,0.004,0.012
qft_5.qasm,['Qgrid_20'],34,35,37,4,6,0,6,1.029,1.088,0.005,0.034
qft_6.qasm,['IBM_Q20'],42,48,50,3,3,0,3,1.143,1.19,0.007,0.042
qft_6.qasm,['Qgrid_20'],42,60,63,8,8,2,10,1.429,1.5,0.008,0.053
qft_7.qasm,['IBM_Q20'],50,61,72,4,5,2,7,1.22,1.44,0.009,0.063
qft_7.qasm,['Qgrid_20'],50,66,68,8,9,1,10,1.32,1.36,0.013,0.091
qft_8.qasm,['IBM_Q20'],58,98,100,6,6,1,7,1.69,1.724,0.013,0.093
qft_8.qasm,['Qgrid_20'],58,81,98,12,19,4,19,1.397,1.69,0.018,0.183
qft_9.qasm,['IBM_Q20'],66,121,108,9,15,1,16,1.833,1.636,0.017,0.136
qft_9.qasm,['Qgrid_20'],66,114,117,19,25,0,23,1.727,1.773,0.023,0.28
quadratic_form_10.qasm,['IBM_Q20'],292,369,370,39,44,3,56,1.264,1.267,0.066,1.506
quadratic_form_10.qasm,['Qgrid_20'],292,381,386,60,75,6,93,1.305,1.322,0.08,2.411
quadratic_form_5.qasm,['IBM_Q20'],82,91,95,4,4,2,6,1.11,1.159,0.01,0.069
quadratic_form_5.qasm,['Qgrid_20'],82,101,97,10,15,2,20,1.232,1.183,0.014,0.173
quadratic_form_6.qasm,['IBM_Q20'],124,148,143,10,12,3,16,1.194,1.153,0.021,0.231
quadratic_form_6.qasm,['Qgrid_20'],124,144,143,19,22,1,26,1.161,1.153,0.025,0.346
quadratic_form_7.qasm,['IBM_Q20'],166,188,185,14,15,2,24,1.133,1.114,0.025,0.335
quadratic_form_7.qasm,['Qgrid_20'],166,207,205,32,32,2,37,1.247,1.235,0.036,0.596
quadratic_form_8.qasm,['IBM_Q20'],208,253,249,20,33,2,41,1.216,1.197,0.044,0.701
quadratic_form_8.qasm,['Qgrid_20'],208,263,273,43,49,5,52,1.264,1.312,0.06,0.991
quadratic_form_9.qasm,['IBM_Q20'],250,307,311,28,30,3,39,1.228,1.244,0.055,1.076
quadratic_form_9.qasm,['Qgrid_20'],250,310,325,48,73,9,81,1.24,1.3,0.063,1.618
quantum_volume_10.qasm,['IBM_Q20'],70,125,128,14,15,0,17,1.786,1.829,0.043,0.481
quantum_volume_10.qasm,['Qgrid_20'],70,142,129,19,24,0,25,2.029,1.843,0.047,0.741
quantum_volume_5.qasm,['IBM_Q20'],35,43,43,1,1,0,1,1.229,1.229,0.006,0.013
quantum_volume_5.qasm,['Qgrid_20'],35,37,37,2,2,0,2,1.057,1.057,0.007,0.02
quantum_volume_6.qasm,['IBM_Q20'],42,58,59,3,4,0,5,1.381,1.405,0.012,0.053
quantum_volume_6.qasm,['Qgrid_20'],42,46,46,4,4,0,4,1.095,1.095,0.012,0.058
quantum_volume_7.qasm,['IBM_Q20'],49,50,50,1,1,0,1,1.02,1.02,0.013,0.03
quantum_volume_7.qasm,['Qgrid_20'],49,51,51,2,2,0,2,1.041,1.041,0.012,0.053
quantum_volume_8.qasm,['IBM_Q20'],56,88,82,6,6,0,6,1.571,1.464,0.025,0.168
quantum_volume_8.qasm,['Qgrid_20'],56,84,72,10,10,0,10,1.5,1.286,0.028,0.245
quantum_volume_9.qasm,['IBM_Q20'],63,102,102,6,6,0,6,1.619,1.619,0.027,0.167
quantum_volume_9.qasm,['Qgrid_20'],63,99,104,13,15,1,16,1.571,1.651,0.03,0.379
weighted_adder_6.qasm,['IBM_Q20'],63,65,67,4,4,0,3,1.032,1.063,0.008,0.066
weighted_adder_6.qasm,['Qgrid_20'],63,76,84,10,11,1,12,1.206,1.333,0.01,0.103
weighted_adder_9.qasm,['IBM_Q20'],229,251,243,22,25,1,18,1.096,1.061,0.04,0.564
weighted_adder_9.qasm,['Qgrid_20'],229,269,273,46,47,0,46,1.175,1.192,0.058,1.055
